"postnr";"postnr_by";"kommuner"
"4200";"Slagelse";"0326 Kalundborg, 0330 Slagelse, 0340 Sorø, 0370 Næstved"
"3550";"Slangerup";"0201 Allerød, 0219 Hillerød, 0240 Egedal, 0250 Frederikssund"
"2765";"Smørum";"0240 Egedal"
"7752";"Snedsted";"0787 Thisted"
"3070";"Snekkersten";"0217 Helsingør"
"4460";"Snertinge";"0316 Holbæk, 0326 Kalundborg"
"8355";"Solbjerg";"0751 Aarhus"
"2680";"Solrød Strand";"0269 Solrød"
"6560";"Sommersted";"0510 Haderslev, 0621 Kolding"
"8641";"Sorring";"0710 Favrskov, 0740 Silkeborg"
"4180";"Sorø";"0329 Ringsted, 0330 Slagelse, 0340 Sorø"
"8981";"Spentrup";"0730 Randers"
"6971";"Spjald";"0760 Ringkøbing-Skjern"
"8472";"Sporup";"0710 Favrskov, 0740 Silkeborg, 0746 Skanderborg"
"7860";"Spøttrup";"0779 Skive"
"7270";"Stakroge";"0530 Billund, 0657 Herning, 0760 Ringkøbing-Skjern"
"4780";"Stege";"0390 Vordingborg"
"8781";"Stenderup";"0615 Horsens, 0766 Hedensted"
"4295";"Stenlille";"0316 Holbæk, 0340 Sorø"
"3660";"Stenløse";"0240 Egedal"
"5771";"Stenstrup";"0430 Faaborg-Midtfyn, 0479 Svendborg"
"4773";"Stensved";"0390 Vordingborg"
"7850";"Stoholm Jyll";"0791 Viborg"
"4952";"Stokkemarke";"0360 Lolland"
"4480";"Store Fuglede";"0326 Kalundborg"
"4660";"Store Heddinge";"0336 Stevns"
"4370";"Store Merløse";"0316 Holbæk, 0329 Ringsted, 0340 Sorø"
"9280";"Storvorde";"0851 Aalborg"
"7140";"Stouby";"0766 Hedensted"
"9970";"Strandby";"0813 Frederikshavn"
"7600";"Struer";"0661 Holstebro, 0665 Lemvig, 0671 Struer"
"5943";"Strynø";"0482 Langeland"
"4671";"Strøby";"0336 Stevns"
"4850";"Stubbekøbing";"0376 Guldborgsund"
"9530";"Støvring";"0840 Rebild, 0851 Aalborg"
"9541";"Suldrup";"0820 Vesthimmerlands, 0840 Rebild"
"9381";"Sulsted";"0849 Jammerbugt, 0851 Aalborg"
"7451";"Sunds";"0657 Herning, 0756 Ikast-Brande, 0791 Viborg"
"3740";"Svaneke";"0400 Bornholm"
"4470";"Svebølle";"0316 Holbæk, 0326 Kalundborg"
"5700";"Svendborg";"0479 Svendborg"
"9230";"Svenstrup J";"0840 Rebild, 0851 Aalborg"
"4520";"Svinninge";"0316 Holbæk"
"6470";"Sydals";"0540 Sønderborg"
"9300";"Sæby";"0813 Frederikshavn"
"2860";"Søborg";"0101 København, 0159 Gladsaxe"
"5985";"Søby Ærø";"0492 Ærø"
"4920";"Søllested";"0360 Lolland"
"7280";"Sønder Felding";"0657 Herning, 0760 Ringkøbing-Skjern"
"7260";"Sønder Omme";"0530 Billund, 0657 Herning"
