"postnr";"postnr_by";"kommuner"
"1822";"Frederiksberg C";"0147 Frederiksberg"
"1823";"Frederiksberg C";"0147 Frederiksberg"
"1826";"Frederiksberg C";"0147 Frederiksberg"
"1818";"Frederiksberg C";"0147 Frederiksberg"
"1800";"Frederiksberg C";"0147 Frederiksberg"
"1960";"Frederiksberg C";"0147 Frederiksberg"
"1964";"Frederiksberg C";"0147 Frederiksberg"
"1804";"Frederiksberg C";"0147 Frederiksberg"
"1809";"Frederiksberg C";"0147 Frederiksberg"
"1811";"Frederiksberg C";"0147 Frederiksberg"
"1812";"Frederiksberg C";"0147 Frederiksberg"
"1808";"Frederiksberg C";"0147 Frederiksberg"
"1813";"Frederiksberg C";"0147 Frederiksberg"
"1974";"Frederiksberg C";"0147 Frederiksberg"
"1814";"Frederiksberg C";"0147 Frederiksberg"
"1806";"Frederiksberg C";"0147 Frederiksberg"
"1803";"Frederiksberg C";"0147 Frederiksberg"
"1805";"Frederiksberg C";"0147 Frederiksberg"
"1972";"Frederiksberg C";"0147 Frederiksberg"
"1971";"Frederiksberg C";"0147 Frederiksberg"
"1970";"Frederiksberg C";"0147 Frederiksberg"
"1967";"Frederiksberg C";"0147 Frederiksberg"
"1966";"Frederiksberg C";"0147 Frederiksberg"
"1965";"Frederiksberg C";"0147 Frederiksberg"
"1810";"Frederiksberg C";"0101 København, 0147 Frederiksberg"
"1815";"Frederiksberg C";"0147 Frederiksberg"
"1973";"Frederiksberg C";"0147 Frederiksberg"
"1807";"Frederiksberg C";"0147 Frederiksberg"
"1875";"Frederiksberg C";"0147 Frederiksberg"
"1957";"Frederiksberg C";"0147 Frederiksberg"
"1916";"Frederiksberg C";"0147 Frederiksberg"
"1915";"Frederiksberg C";"0147 Frederiksberg"
"1865";"Frederiksberg C";"0147 Frederiksberg"
"1914";"Frederiksberg C";"0147 Frederiksberg"
"1913";"Frederiksberg C";"0147 Frederiksberg"
"1866";"Frederiksberg C";"0147 Frederiksberg"
"1912";"Frederiksberg C";"0147 Frederiksberg"
"1911";"Frederiksberg C";"0147 Frederiksberg"
"1867";"Frederiksberg C";"0147 Frederiksberg"
"1910";"Frederiksberg C";"0147 Frederiksberg"
"1909";"Frederiksberg C";"0147 Frederiksberg"
"1908";"Frederiksberg C";"0147 Frederiksberg"
"1868";"Frederiksberg C";"0147 Frederiksberg"
"1917";"Frederiksberg C";"0147 Frederiksberg"
"1906";"Frederiksberg C";"0147 Frederiksberg"
"1871";"Frederiksberg C";"0147 Frederiksberg"
"1872";"Frederiksberg C";"0147 Frederiksberg"
"1905";"Frederiksberg C";"0147 Frederiksberg"
"1904";"Frederiksberg C";"0147 Frederiksberg"
"1903";"Frederiksberg C";"0147 Frederiksberg"
"1902";"Frederiksberg C";"0147 Frederiksberg"
"1901";"Frederiksberg C";"0147 Frederiksberg"
"1873";"Frederiksberg C";"0147 Frederiksberg"
"1900";"Frederiksberg C";"0147 Frederiksberg"
"1879";"Frederiksberg C";"0147 Frederiksberg"
"1878";"Frederiksberg C";"0147 Frederiksberg"
"1874";"Frederiksberg C";"0147 Frederiksberg"
"1877";"Frederiksberg C";"0147 Frederiksberg"
"1870";"Frederiksberg C";"0147 Frederiksberg"
"1920";"Frederiksberg C";"0147 Frederiksberg"
"1864";"Frederiksberg C";"0147 Frederiksberg"
"1863";"Frederiksberg C";"0147 Frederiksberg"
"1956";"Frederiksberg C";"0147 Frederiksberg"
"1955";"Frederiksberg C";"0147 Frederiksberg"
"1954";"Frederiksberg C";"0147 Frederiksberg"
"1876";"Frederiksberg C";"0147 Frederiksberg"
"1952";"Frederiksberg C";"0147 Frederiksberg"
"1951";"Frederiksberg C";"0147 Frederiksberg"
"1827";"Frederiksberg C";"0147 Frederiksberg"
"1828";"Frederiksberg C";"0147 Frederiksberg"
"1950";"Frederiksberg C";"0147 Frederiksberg"
"1829";"Frederiksberg C";"0147 Frederiksberg"
"1928";"Frederiksberg C";"0147 Frederiksberg"
"1850";"Frederiksberg C";"0147 Frederiksberg"
"1851";"Frederiksberg C";"0147 Frederiksberg"
"1927";"Frederiksberg C";"0147 Frederiksberg"
"1926";"Frederiksberg C";"0147 Frederiksberg"
"1852";"Frederiksberg C";"0147 Frederiksberg"
"1853";"Frederiksberg C";"0147 Frederiksberg"
"1854";"Frederiksberg C";"0147 Frederiksberg"
"1925";"Frederiksberg C";"0147 Frederiksberg"
"1924";"Frederiksberg C";"0147 Frederiksberg"
"1855";"Frederiksberg C";"0147 Frederiksberg"
"1923";"Frederiksberg C";"0147 Frederiksberg"
"1856";"Frederiksberg C";"0147 Frederiksberg"
"1857";"Frederiksberg C";"0147 Frederiksberg"
"1922";"Frederiksberg C";"0147 Frederiksberg"
"1860";"Frederiksberg C";"0147 Frederiksberg"
"1861";"Frederiksberg C";"0147 Frederiksberg"
"1862";"Frederiksberg C";"0147 Frederiksberg"
"1921";"Frederiksberg C";"0147 Frederiksberg"
"1958";"Frederiksberg C";"0147 Frederiksberg"
"1953";"Frederiksberg C";"0147 Frederiksberg"
"1820";"Frederiksberg C";"0147 Frederiksberg"
"1819";"Frederiksberg C";"0147 Frederiksberg"
"9900";"Frederikshavn";"0813 Frederikshavn, 0860 Hjørring"
"3600";"Frederikssund";"0219 Hillerød, 0250 Frederikssund, 0260 Halsnæs"
"3300";"Frederiksværk";"0260 Halsnæs, 0270 Gribskov"
"5871";"Frørup";"0450 Nyborg"
"7741";"Frøstrup";"0787 Thisted"
"4250";"Fuglebjerg";"0330 Slagelse, 0370 Næstved"
"7884";"Fur";"0779 Skive"
"4540";"Fårevejle";"0306 Odsherred"
"8990";"Fårup";"0730 Randers, 0846 Mariagerfjord"
"8882";"Fårvang";"0710 Favrskov, 0740 Silkeborg"
"4591";"Føllenslev";"0306 Odsherred, 0326 Kalundborg"
"6683";"Føvling";"0561 Esbjerg, 0575 Vejen"
"7321";"Gadbjerg";"0630 Vejle"
"4621";"Gadstrup";"0265 Roskilde, 0350 Lejre"
"8464";"Galten";"0746 Skanderborg, 0751 Aarhus"
"9362";"Gandrup";"0851 Aalborg"
"4874";"Gedser";"0376 Guldborgsund"
"9631";"Gedsted";"0791 Viborg, 0820 Vesthimmerlands"
"8751";"Gedved";"0615 Horsens, 0746 Skanderborg"
"5591";"Gelsted";"0410 Middelfart"
"2820";"Gentofte";"0157 Gentofte, 0159 Gladsaxe"
"6621";"Gesten";"0575 Vejen"
"3250";"Gilleleje";"0270 Gribskov"
"5854";"Gislev";"0430 Faaborg-Midtfyn, 0479 Svendborg"
"4532";"Gislinge";"0316 Holbæk"
"9260";"Gistrup";"0840 Rebild, 0851 Aalborg"
"7323";"Give";"0630 Vejle, 0756 Ikast-Brande"
"8983";"Gjerlev J";"0730 Randers"
"8883";"Gjern";"0740 Silkeborg"
"5620";"Glamsbjerg";"0420 Assens"
"6752";"Glejbjerg";"0575 Vejen"
"8585";"Glesborg";"0707 Norddjurs"
"2600";"Glostrup";"0153 Brøndby, 0161 Glostrup, 0165 Albertslund"
"4171";"Glumsø";"0370 Næstved"
"6510";"Gram";"0510 Haderslev"
"6771";"Gredstedbro";"0561 Esbjerg"
"8500";"Grenaa";"0707 Norddjurs"
"2670";"Greve";"0253 Greve"
"4571";"Grevinge";"0306 Odsherred"
"7200";"Grindsted";"0530 Billund, 0573 Varde, 0630 Vejle, 0760 Ringkøbing-Skjern"
"6300";"Gråsten";"0540 Sønderborg, 0580 Aabenraa"
"3230";"Græsted";"0217 Helsingør, 0219 Hillerød, 0270 Gribskov"
"5892";"Gudbjerg Sydfyn";"0479 Svendborg"
"3760";"Gudhjem";"0400 Bornholm, 0411 Christiansø"
"5884";"Gudme";"0479 Svendborg"
"4862";"Guldborg";"0376 Guldborgsund"
"6690";"Gørding";"0561 Esbjerg, 0575 Vejen"
"4281";"Gørlev";"0326 Kalundborg"
"3330";"Gørløse";"0219 Hillerød"
"5683";"Haarby";"0420 Assens"
"6100";"Haderslev";"0510 Haderslev, 0621 Kolding"
"7540";"Haderup";"0657 Herning, 0661 Holstebro, 0791 Viborg"
"8370";"Hadsten";"0710 Favrskov"
"9560";"Hadsund";"0840 Rebild, 0846 Mariagerfjord"
"9370";"Hals";"0810 Brønderslev, 0851 Aalborg"
"8450";"Hammel";"0710 Favrskov, 0740 Silkeborg"
"7362";"Hampen";"0740 Silkeborg, 0756 Ikast-Brande"
"7730";"Hanstholm";"0787 Thisted"
"7673";"Harboøre";"0665 Lemvig"
"8462";"Harlev J";"0751 Aarhus"
"5463";"Harndrup";"0410 Middelfart"
"4912";"Harpelunde";"0360 Lolland"
"3790";"Hasle";"0400 Bornholm"
"4690";"Haslev";"0320 Faxe, 0329 Ringsted, 0370 Næstved"
"8361";"Hasselager";"0751 Aarhus"
"4622";"Havdrup";"0265 Roskilde, 0269 Solrød"
"8970";"Havndal";"0730 Randers, 0846 Mariagerfjord"
"2640";"Hedehusene";"0169 Høje-Taastrup, 0183 Ishøj, 0253 Greve, 0265 Roskilde"
"8722";"Hedensted";"0766 Hedensted"
"6094";"Hejls";"0510 Haderslev, 0621 Kolding"
"7250";"Hejnsvig";"0530 Billund"
"3150";"Hellebæk";"0217 Helsingør"
"2900";"Hellerup";"0101 København, 0157 Gentofte"
"3200";"Helsinge";"0219 Hillerød, 0270 Gribskov"
"3000";"Helsingør";"0217 Helsingør"
"6893";"Hemmet";"0760 Ringkøbing-Skjern"
"6854";"Henne";"0573 Varde"
"4681";"Herfølge";"0259 Køge"
"2730";"Herlev";"0151 Ballerup, 0163 Herlev"
"4160";"Herlufmagle";"0320 Faxe, 0370 Næstved"
"7400";"Herning";"0657 Herning, 0756 Ikast-Brande, 0760 Ringkøbing-Skjern"
"5874";"Hesselager";"0450 Nyborg, 0479 Svendborg"
"3400";"Hillerød";"0201 Allerød, 0210 Fredensborg, 0219 Hillerød"
"8382";"Hinnerup";"0710 Favrskov, 0751 Aarhus"
"9850";"Hirtshals";"0860 Hjørring"
"9320";"Hjallerup";"0810 Brønderslev, 0851 Aalborg"
"7560";"Hjerm";"0661 Holstebro, 0671 Struer"
"8530";"Hjortshøj";"0751 Aarhus"
"9800";"Hjørring";"0860 Hjørring"
"9500";"Hobro";"0791 Viborg, 0840 Rebild, 0846 Mariagerfjord"
"4300";"Holbæk";"0316 Holbæk"
"4960";"Holeby";"0360 Lolland"
"4684";"Holmegaard";"0320 Faxe, 0370 Næstved"
"7500";"Holstebro";"0657 Herning, 0661 Holstebro, 0671 Struer"
"6670";"Holsted";"0561 Esbjerg, 0575 Vejen"
"2840";"Holte";"0173 Lyngby-Taarbæk, 0230 Rudersdal"
"4871";"Horbelev";"0376 Guldborgsund"
"3100";"Hornbæk";"0217 Helsingør, 0270 Gribskov"
"8543";"Hornslet";"0706 Syddjurs, 0751 Aarhus"
"8783";"Hornsyld";"0615 Horsens, 0766 Hedensted"
"8700";"Horsens";"0615 Horsens, 0766 Hedensted"
"4913";"Horslunde";"0360 Lolland"
"6682";"Hovborg";"0530 Billund, 0573 Varde, 0575 Vejen"
"8732";"Hovedgård";"0615 Horsens"
"5932";"Humble";"0482 Langeland"
"3050";"Humlebæk";"0210 Fredensborg, 0217 Helsingør"
"3390";"Hundested";"0260 Halsnæs"
"8350";"Hundslund";"0727 Odder"
"7760";"Hurup Thy";"0671 Struer, 0787 Thisted"
"4330";"Hvalsø";"0316 Holbæk, 0329 Ringsted, 0350 Lejre"
"6960";"Hvide Sande";"0760 Ringkøbing-Skjern"
"2650";"Hvidovre";"0153 Brøndby, 0167 Hvidovre"
"4652";"Hårlev";"0320 Faxe, 0336 Stevns"
"8270";"Højbjerg";"0751 Aarhus"
"4573";"Højby";"0306 Odsherred"
"6280";"Højer";"0550 Tønder"
"7840";"Højslev";"0779 Skive, 0791 Viborg"
"4270";"Høng";"0326 Kalundborg, 0330 Slagelse"
"8362";"Hørning";"0746 Skanderborg, 0751 Aarhus"
"2970";"Hørsholm";"0201 Allerød, 0210 Fredensborg, 0223 Hørsholm, 0230 Rudersdal"
"4534";"Hørve";"0306 Odsherred, 0326 Kalundborg"
"4872";"Idestrup";"0376 Guldborgsund"
"7430";"Ikast";"0756 Ikast-Brande"
"2635";"Ishøj";"0183 Ishøj"
"6851";"Janderup Vestj";"0573 Varde"
"7300";"Jelling";"0630 Vejle"
"9740";"Jerslev J";"0810 Brønderslev, 0860 Hjørring"
"4490";"Jerslev Sjælland";"0326 Kalundborg"
"9981";"Jerup";"0813 Frederikshavn"
"6064";"Jordrup";"0621 Kolding"
"7130";"Juelsminde";"0766 Hedensted"
"4450";"Jyderup";"0316 Holbæk, 0326 Kalundborg"
"4040";"Jyllinge";"0265 Roskilde"
"4174";"Jystrup Midtsj";"0259 Køge, 0329 Ringsted"
"3630";"Jægerspris";"0250 Frederikssund"
"4400";"Kalundborg";"0326 Kalundborg"
"4771";"Kalvehave";"0390 Vordingborg"
"7960";"Karby";"0773 Morsø"
"4653";"Karise";"0320 Faxe, 0336 Stevns"
"2690";"Karlslunde";"0253 Greve, 0269 Solrød"
"4736";"Karrebæksminde";"0370 Næstved"
"7470";"Karup J";"0657 Herning, 0740 Silkeborg, 0791 Viborg"
"2770";"Kastrup";"0101 København, 0185 Tårnby"
"5300";"Kerteminde";"0440 Kerteminde"
"4892";"Kettinge";"0376 Guldborgsund"
"6933";"Kibæk";"0657 Herning, 0760 Ringkøbing-Skjern"
"4360";"Kirke Eskilstrup";"0316 Holbæk, 0329 Ringsted"
"4070";"Kirke Hyllinge";"0350 Lejre"
"4060";"Kirke Såby";"0350 Lejre"
"8620";"Kjellerup";"0740 Silkeborg, 0791 Viborg"
"2930";"Klampenborg";"0157 Gentofte, 0173 Lyngby-Taarbæk"
"9270";"Klarup";"0851 Aalborg"
"3782";"Klemensker";"0400 Bornholm"
"4672";"Klippinge";"0336 Stevns"
"8765";"Klovborg";"0615 Horsens, 0756 Ikast-Brande"
"8420";"Knebel";"0706 Syddjurs"
"2980";"Kokkedal";"0210 Fredensborg, 0223 Hørsholm"
"6000";"Kolding";"0621 Kolding"
"8560";"Kolind";"0706 Syddjurs, 0707 Norddjurs"
"2800";"Kongens Lyngby";"0157 Gentofte, 0159 Gladsaxe, 0173 Lyngby-Taarbæk, 0230 Rudersdal"
"9293";"Kongerslev";"0840 Rebild, 0851 Aalborg"
"4220";"Korsør";"0330 Slagelse"
"6340";"Kruså";"0580 Aabenraa"
"3490";"Kvistgård";"0210 Fredensborg, 0217 Helsingør"
"5772";"Kværndrup";"0430 Faaborg-Midtfyn, 0479 Svendborg"
"1050";"København K";"0101 København"
"1402";"København K";"0101 København"
"1326";"København K";"0101 København"
"1327";"København K";"0101 København"
"1328";"København K";"0101 København"
"1329";"København K";"0101 København"
"1350";"København K";"0101 København"
"1352";"København K";"0101 København"
"1353";"København K";"0101 København"
"1354";"København K";"0101 København"
"1355";"København K";"0101 København"
"1356";"København K";"0101 København"
"1357";"København K";"0101 København"
"1358";"København K";"0101 København"
"1359";"København K";"0101 København"
"1360";"København K";"0101 København"
"1361";"København K";"0101 København"
"1362";"København K";"0101 København"
"1363";"København K";"0101 København"
"1364";"København K";"0101 København"
"1365";"København K";"0101 København"
"1366";"København K";"0101 København"
"1367";"København K";"0101 København"
"1368";"København K";"0101 København"
"1369";"København K";"0101 København"
"1370";"København K";"0101 København"
"1371";"København K";"0101 København"
"1325";"København K";"0101 København"
"1324";"København K";"0101 København"
"1323";"København K";"0101 København"
"1322";"København K";"0101 København"
"1266";"København K";"0101 København"
"1267";"København K";"0101 København"
"1268";"København K";"0101 København"
"1270";"København K";"0101 København"
"1271";"København K";"0101 København"
"1300";"København K";"0101 København"
"1301";"København K";"0101 København"
"1302";"København K";"0101 København"
"1303";"København K";"0101 København"
"1304";"København K";"0101 København"
"1306";"København K";"0101 København"
"1307";"København K";"0101 København"
"1400";"København K";"0101 København"
"1308";"København K";"0101 København"
"1310";"København K";"0101 København"
"1311";"København K";"0101 København"
"1312";"København K";"0101 København"
"1313";"København K";"0101 København"
"1314";"København K";"0101 København"
"1315";"København K";"0101 København"
"1316";"København K";"0101 København"
"1317";"København K";"0101 København"
"1318";"København K";"0101 København"
"1319";"København K";"0101 København"
"1320";"København K";"0101 København"
"1321";"København K";"0101 København"
"1309";"København K";"0101 København"
"1265";"København K";"0101 København"
"1401";"København K";"0101 København"
"1406";"København K";"0101 København"
"1438";"København K";"0101 København"
"1473";"København K";"0101 København"
"1439";"København K";"0101 København"
"1440";"København K";"0101 København"
"1472";"København K";"0101 København"
"1441";"København K";"0101 København"
"1450";"København K";"0101 København"
"1471";"København K";"0101 København"
"1451";"København K";"0101 København"
"1452";"København K";"0101 København"
"1470";"København K";"0101 København"
"1453";"København K";"0101 København"
"1454";"København K";"0101 København"
"1455";"København K";"0101 København"
"1468";"København K";"0101 København"
"1456";"København K";"0101 København"
"1457";"København K";"0101 København"
"1467";"København K";"0101 København"
"1466";"København K";"0101 København"
"1465";"København K";"0101 København"
"1464";"København K";"0101 København"
"1458";"København K";"0101 København"
"1463";"København K";"0101 København"
"1459";"København K";"0101 København"
"1462";"København K";"0101 København"
"1437";"København K";"0101 København"
"1436";"København K";"0101 København"
"1435";"København K";"0101 København"
"1434";"København K";"0101 København"
"1407";"København K";"0101 København"
"1408";"København K";"0101 København"
"1409";"København K";"0101 København"
"1410";"København K";"0101 København"
"1411";"København K";"0101 København"
"1412";"København K";"0101 København"
"1413";"København K";"0101 København"
"1414";"København K";"0101 København"
"1415";"København K";"0101 København"
"1416";"København K";"0101 København"
"1417";"København K";"0101 København"
"1418";"København K";"0101 København"
"1403";"København K";"0101 København"
"1419";"København K";"0101 København"
"1421";"København K";"0101 København"
"1422";"København K";"0101 København"
"1423";"København K";"0101 København"
"1424";"København K";"0101 København"
"1425";"København K";"0101 København"
"1426";"København K";"0101 København"
"1427";"København K";"0101 København"
"1428";"København K";"0101 København"
"1429";"København K";"0101 København"
"1430";"København K";"0101 København"
"1432";"København K";"0101 København"
"1433";"København K";"0101 København"
"1420";"København K";"0101 København"
"1460";"København K";"0101 København"
"1264";"København K";"0101 København"
"1261";"København K";"0101 København"
"1106";"København K";"0101 København"
"1107";"København K";"0101 København"
"1110";"København K";"0101 København"
"1111";"København K";"0101 København"
"1112";"København K";"0101 København"
"1113";"København K";"0101 København"
"1114";"København K";"0101 København"
"1115";"København K";"0101 København"
"1116";"København K";"0101 København"
"1117";"København K";"0101 København"
"1118";"København K";"0101 København"
"1119";"København K";"0101 København"
"1120";"København K";"0101 København"
"1121";"København K";"0101 København"
"1122";"København K";"0101 København"
"1123";"København K";"0101 København"
"1124";"København K";"0101 København"
"1125";"København K";"0101 København"
"1126";"København K";"0101 København"
"1127";"København K";"0101 København"
"1128";"København K";"0101 København"
"1129";"København K";"0101 København"
"1130";"København K";"0101 København"
"1131";"København K";"0101 København"
"1150";"København K";"0101 København"
"1105";"København K";"0101 København"
"1104";"København K";"0101 København"
"1103";"København K";"0101 København"
"1102";"København K";"0101 København"
"1051";"København K";"0101 København"
"1052";"København K";"0101 København"
"1053";"København K";"0101 København"
"1054";"København K";"0101 København"
"1055";"København K";"0101 København"
"1056";"København K";"0101 København"
"1057";"København K";"0101 København"
"1058";"København K";"0101 København"
"1059";"København K";"0101 København"
"1060";"København K";"0101 København"
"1061";"København K";"0101 København"
"1062";"København K";"0101 København"
"1151";"København K";"0101 København"
"1063";"København K";"0101 København"
"1065";"København K";"0101 København"
"1066";"København K";"0101 København"
"1067";"København K";"0101 København"
"1068";"København K";"0101 København"
"1069";"København K";"0101 København"
"1070";"København K";"0101 København"
"1071";"København K";"0101 København"
"1072";"København K";"0101 København"
"1073";"København K";"0101 København"
"1074";"København K";"0101 København"
"1100";"København K";"0101 København"
"1101";"København K";"0101 København"
"1064";"København K";"0101 København"
"1152";"København K";"0101 København"
"1461";"København K";"0101 København"
"1153";"København K";"0101 København"
"1260";"København K";"0101 København"
"1206";"København K";"0101 København"
"1207";"København K";"0101 København"
"1208";"København K";"0101 København"
"1209";"København K";"0101 København"
"1210";"København K";"0101 København"
"1211";"København K";"0101 København"
"1212";"København K";"0101 København"
"1213";"København K";"0101 København"
"1214";"København K";"0101 København"
"1215";"København K";"0101 København"
"1216";"København K";"0101 København"
"1218";"København K";"0101 København"
"1219";"København K";"0101 København"
"1220";"København K";"0101 København"
"1221";"København K";"0101 København"
"1250";"København K";"0101 København"
"1251";"København K";"0101 København"
"1252";"København K";"0101 København"
"1253";"København K";"0101 København"
"1254";"København K";"0101 København"
"1255";"København K";"0101 København"
"1256";"København K";"0101 København"
"1263";"København K";"0101 København"
"1257";"København K";"0101 København"
"1205";"København K";"0101 København"
"1203";"København K";"0101 København"
"1154";"København K";"0101 København"
"1155";"København K";"0101 København"
"1156";"København K";"0101 København"
"1157";"København K";"0101 København"
"1158";"København K";"0101 København"
"1159";"København K";"0101 København"
"1160";"København K";"0101 København"
"1161";"København K";"0101 København"
"1162";"København K";"0101 København"
"1164";"København K";"0101 København"
"1165";"København K";"0101 København"
"1166";"København K";"0101 København"
"1204";"København K";"0101 København"
"1167";"København K";"0101 København"
"1169";"København K";"0101 København"
"1170";"København K";"0101 København"
"1171";"København K";"0101 København"
"1172";"København K";"0101 København"
"1173";"København K";"0101 København"
"1174";"København K";"0101 København"
"1175";"København K";"0101 København"
"1200";"København K";"0101 København"
"1201";"København K";"0101 København"
"1202";"København K";"0101 København"
"1168";"København K";"0101 København"
"1259";"København K";"0101 København"
"2200";"København N";"0101 København, 0147 Frederiksberg"
"2400";"København NV";"0101 København"
"2300";"København S";"0101 København, 0185 Tårnby"
"2450";"København SV";"0101 København"
"1799";"København V";"0101 København"
"1777";"København V";"0101 København"
"1575";"København V";"0101 København"
"1723";"København V";"0101 København"
"1722";"København V";"0101 København"
"1606";"København V";"0101 København"
"1607";"København V";"0101 København"
"1721";"København V";"0101 København"
"1608";"København V";"0101 København"
"1720";"København V";"0101 København"
"1719";"København V";"0101 København"
"1718";"København V";"0101 København"
"1717";"København V";"0101 København"
"1605";"København V";"0101 København"
"1716";"København V";"0101 København"
"1609";"København V";"0101 København"
"1714";"København V";"0101 København"
"1610";"København V";"0101 København"
"1611";"København V";"0101 København"
"1712";"København V";"0101 København"
"1612";"København V";"0101 København"
"1613";"København V";"0101 København"
"1614";"København V";"0101 København"
"1615";"København V";"0101 København"
"1616";"København V";"0101 København"
"1715";"København V";"0101 København"
"1604";"København V";"0101 København"
"1603";"København V";"0101 København"
"1602";"København V";"0101 København"
"1570";"København V";"0101 København"
"1737";"København V";"0101 København"
"1736";"København V";"0101 København"
"1735";"København V";"0101 København"
"1571";"København V";"0101 København"
"1734";"København V";"0101 København"
"1733";"København V";"0101 København"
"1572";"København V";"0101 København"
"1732";"København V";"0101 København"
"1731";"København V";"0101 København"
"1730";"København V";"0101 København"
"1729";"København V";"0101 København"
"1573";"København V";"0101 København"
"1728";"København V";"0101 København"
"1727";"København V";"0101 København"
"1574";"København V";"0101 København"
"1726";"København V";"0101 København"
"1725";"København V";"0101 København"
"1576";"København V";"0101 København"
"1724";"København V";"0101 København"
"1577";"København V";"0101 København"
"1600";"København V";"0101 København"
"1601";"København V";"0101 København"
"1711";"København V";"0101 København"
"1569";"København V";"0101 København"
"1710";"København V";"0101 København"
"1709";"København V";"0101 København"
"1634";"København V";"0101 København"
"1635";"København V";"0101 København"
"1650";"København V";"0101 København"
"1651";"København V";"0101 København"
"1652";"København V";"0101 København"
"1653";"København V";"0101 København"
"1654";"København V";"0101 København"
"1670";"København V";"0101 København"
"1655";"København V";"0101 København"
"1669";"København V";"0101 København"
"1671";"København V";"0101 København"
"1668";"København V";"0101 København"
"1667";"København V";"0101 København"
"1666";"København V";"0101 København"
"1665";"København V";"0101 København"
"1657";"København V";"0101 København"
"1658";"København V";"0101 København"
"1664";"København V";"0101 København"
"1663";"København V";"0101 København"
"1662";"København V";"0101 København"
"1659";"København V";"0101 København"
"1660";"København V";"0101 København"
"1656";"København V";"0101 København"
"1672";"København V";"0101 København"
"1673";"København V";"0101 København"
"1633";"København V";"0101 København"
"1708";"København V";"0101 København"
"1618";"København V";"0101 København"
"1619";"København V";"0101 København"
"1620";"København V";"0101 København"
"1621";"København V";"0101 København"
"1707";"København V";"0101 København"
"1706";"København V";"0101 København"
"1705";"København V";"0101 København"
