"velhold_f_type_kode";"velhold_f_type";"aktiv";"begrebsdefinition";"velhold_f_type_label"
401020;"Fast belægning - Naturstensbelægning";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"FB01b"
401030;"Fast belægning - Beton";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"FB01c"
401040;"Fast belægning - Klinker";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"FB01d"
401050;"Fast belægning - Brolægning";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"FB01e"
401060;"Fast belægning - Belægningssten";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"FB01f"
401070;"Fast belægning - Sten glacis";1;"Stenklædt skråning. Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"FB01g"
401080;"Fast belægning - Træ";1;"F.eks. stier i sumpområder. Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"FB01h"
402010;"Fortov - renholdt driften";1;"Fortov med grundejerforpligtigelsen. Lokal standard - skal beskrives iudbudsmaterialet eller lignende.";"FB02a"
412000;"Løs belægning";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"LB02"
412010;"Løs belægning - Perlesten";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"LB02a"
412020;"Løs belægning - Parksti";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"LB02b"
412030;"Løs belægning - Rekreative sti";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"LB02c"
412040;"Løs belægning - Kunststofbelægning";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"LB02d"
412050;"Løs belægning - Flis";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"LB02e"
413000;"Natursti (bynær)";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"LB03"
413010;"Natursti bynær - Ridesti";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"LB03a"
413020;"Natursti bynær - Muldjord";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"LB03b"
413030;"Natursti bynær - Råjord";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"LB03c"
413040;"Natursti bynær - Flis/bark";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"LB03d"
424000;"Sportsbelægning";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"SB01"
424010;"Sportsbelægning - Kunststof";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"SB01a"
424020;"Sportsbelægning - Asfalt";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"SB01b"
424030;"Sportsbelægning - Beton";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"SB01c"
424040;"Sportsbelægning - Stenmel/grus";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"SB01d"
424050;"Sportsbelægning - Jord";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"SB01e"
424060;"Sportsbelægning - Kunstgræs";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"SB01f"
414000;"Faldunderlag";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"LB04"
414010;"Faldunderlag - Flis";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"LB04a"
414040;"Sandkasse";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"LB04d"
431000;"Trappe og rampe";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"BY01"
432000;"Bro";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"BY02"
433000;"Både-/badebro - flade";1;"Div. broer ud i vandet, som der er driftforpligelse på. Typiske broerder ender blindt. Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"BY03"
434010;"Bygning";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"BY04a"
980000;"Andet";1;"Hvor andre facilitetsbetegnelser ikke er dækkende.";"AN01"
990000;"Ukendt";1;"Mangler viden om typen.";"UK01"
401011;"Fast belægning - Raste- / P-plads";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"FB1k"
401051;"Fast belægning - Helle m. brolægning";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"FB1j"
401052;"Fast belægning - Helle m. asfalt";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"FB1l"
412070;"Løs belægning - Helle";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"LB2g"
412080;"Løs belægning - Raste- / P-plads";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"LB2h"
412090;"Løs belægning - stenmel";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"LB2i"
424070;"Sportsbelægning - sand";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"SB4g"
981000;"Faskiner";1;"Lemvig";"AN02"
982000;"Skaterpark";1;"Lemvig";"AN03"
